Format Version,1.21,Take Name,Take 2017-11-16 05.15.59 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-11-16 05.15.59 PM,Total Frames in Take,536,Total Exported Frames,536,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,wand,wand,wand,wand,wand,wand,wand,wand
,,"8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
122,1.016667,0.012576,0.280035,0.172789,-0.944228,-1.139768,1.425318,-2.248085,0.001116
123,1.025000,0.017429,0.288495,0.171890,-0.941765,-1.143870,1.432513,-2.249695,0.001123
124,1.033333,0.020893,0.296912,0.170768,-0.939279,-1.147429,1.440226,-2.251129,0.001034
125,1.041667,0.025038,0.303916,0.169847,-0.937102,-1.151144,1.447878,-2.252989,0.001092
126,1.050000,0.029831,0.311562,0.170018,-0.934416,-1.154414,1.455291,-2.254238,0.000938
127,1.058333,0.035350,0.317713,0.169539,-0.932237,-1.157649,1.462715,-2.255801,0.001115
128,1.066667,0.039633,0.324082,0.168336,-0.930088,-1.160379,1.470800,-2.257296,0.001088
129,1.075000,0.045020,0.330846,0.169112,-0.927316,-1.162815,1.478454,-2.257910,0.000942
130,1.083333,0.051323,0.337055,0.168278,-0.924901,-1.164878,1.485975,-2.259104,0.001041
131,1.091667,0.056169,0.342138,0.166797,-0.923020,-1.166632,1.494376,-2.260184,0.001094
132,1.100000,0.061647,0.347103,0.166386,-0.920888,-1.168109,1.502539,-2.260858,0.001073
133,1.108333,0.068358,0.352395,0.165860,-0.918496,-1.169084,1.510209,-2.261286,0.001086
134,1.116667,0.075136,0.355623,0.164978,-0.916880,-1.170130,1.518394,-2.261883,0.001079
135,1.125000,0.081200,0.359529,0.162847,-0.915219,-1.170257,1.526961,-2.262076,0.000977
136,1.133333,0.089329,0.364495,0.160519,-0.912906,-1.169876,1.534854,-2.261897,0.001131
137,1.141667,0.095890,0.367109,0.159239,-0.911416,-1.169534,1.543340,-2.261768,0.000983
138,1.150000,0.104320,0.370726,0.157041,-0.909405,-1.168447,1.551293,-2.261293,0.001205
139,1.158333,0.111827,0.369288,0.156528,-0.909187,-1.167705,1.559653,-2.261444,0.001006
140,1.166667,0.120664,0.374641,0.152879,-0.906484,-1.165557,1.567769,-2.260020,0.001180
141,1.175000,0.128647,0.375812,0.151037,-0.905209,-1.163458,1.576039,-2.259011,0.001216
142,1.183333,0.137550,0.375443,0.149449,-0.904316,-1.161321,1.583982,-2.258219,0.001255
143,1.191667,0.146346,0.377116,0.147807,-0.902507,-1.158298,1.592008,-2.256456,0.001159
144,1.200000,0.154903,0.376112,0.146520,-0.901707,-1.155336,1.599801,-2.255012,0.001300
145,1.208333,0.163168,0.374126,0.145425,-0.901254,-1.152049,1.607551,-2.253630,0.001298
146,1.216667,0.170890,0.372528,0.144586,-0.900619,-1.148237,1.615287,-2.251918,0.001283
147,1.225000,0.178936,0.370298,0.143811,-0.900100,-1.144107,1.622735,-2.249864,0.001269
148,1.233333,0.187407,0.367885,0.142463,-0.899580,-1.139541,1.630064,-2.247527,0.001267
149,1.241667,0.195605,0.364485,0.141801,-0.899323,-1.134801,1.637120,-2.245277,0.001275
150,1.250000,0.201788,0.359509,0.140474,-0.900168,-1.129850,1.644793,-2.243028,0.001177
151,1.258333,0.210809,0.353010,0.141608,-0.900495,-1.124676,1.650871,-2.240764,0.000977
152,1.266667,0.220976,0.353942,0.137060,-0.898392,-1.117586,1.656541,-2.236110,0.000708
153,1.275000,0.230664,0.352474,0.133559,-0.897061,-1.110803,1.662321,-2.232109,0.000949
154,1.283333,0.233375,0.333263,0.139571,-0.902769,-1.107495,1.669224,-2.232954,0.001624
155,1.291667,0.237576,0.328531,0.140369,-0.903284,-1.100551,1.675418,-2.229562,0.001034
156,1.300000,0.243546,0.320957,0.139231,-0.904592,-1.093723,1.681037,-2.226638,0.001063
157,1.308333,0.252208,0.323740,0.134848,-0.901887,-1.084240,1.685717,-2.221458,0.001361
158,1.316667,0.252709,0.315224,0.136980,-0.904438,-1.076705,1.691705,-2.218794,0.001260
159,1.325000,0.250185,0.321371,0.130149,-0.903985,-1.066297,1.699479,-2.211975,0.002361
160,1.333333,0.265968,0.294790,0.131951,-0.908267,-1.062194,1.700575,-2.212605,0.001726
161,1.341667,0.273303,0.291001,0.131491,-0.907378,-1.053072,1.703687,-2.208475,0.001840
162,1.350000,0.275895,0.275910,0.133436,-0.911016,-1.046670,1.708413,-2.205809,0.001312
163,1.358333,0.276834,0.268553,0.130678,-0.913327,-1.037298,1.713460,-2.202768,0.001414
164,1.366667,0.281924,0.257533,0.135962,-0.914172,-1.029365,1.716094,-2.199460,0.001260
165,1.375000,0.289816,0.248772,0.132280,-0.914670,-1.020684,1.718671,-2.195321,0.001601
166,1.383333,0.293054,0.238731,0.132898,-0.916223,-1.011890,1.721669,-2.192166,0.001493
167,1.391667,0.301344,0.228796,0.135279,-0.915720,-1.003384,1.722855,-2.187896,0.001343
168,1.400000,0.305034,0.217203,0.135774,-0.917247,-0.994625,1.725022,-2.184755,0.001467
169,1.408333,0.302627,0.207031,0.138738,-0.919949,-0.984919,1.728410,-2.182123,0.001336
170,1.416667,0.313139,0.191319,0.141086,-0.919476,-0.977563,1.728031,-2.178541,0.001746
171,1.425000,0.311499,0.186482,0.141995,-0.920886,-0.966642,1.730186,-2.174308,0.001654
172,1.433333,0.312592,0.174131,0.140471,-0.923165,-0.957033,1.732168,-2.172019,0.001288
173,1.441667,0.317975,0.163746,0.138361,-0.923545,-0.947611,1.732138,-2.168348,0.001670
174,1.450000,0.322580,0.153845,0.141070,-0.923241,-0.938231,1.731735,-2.164188,0.001324
175,1.458333,0.322365,0.142566,0.142378,-0.924924,-0.928582,1.732393,-2.161808,0.001380
176,1.466667,0.324649,0.132216,0.143637,-0.925468,-0.918805,1.732186,-2.158615,0.001390
177,1.475000,0.326499,0.119259,0.144904,-0.926379,-0.909636,1.731843,-2.155911,0.001371
178,1.483333,0.331287,0.109598,0.145901,-0.925716,-0.899837,1.730429,-2.152330,0.001368
179,1.491667,0.333131,0.097142,0.148113,-0.926094,-0.890602,1.729400,-2.149795,0.001150
180,1.500000,0.334841,0.086634,0.149752,-0.926256,-0.880974,1.728090,-2.146890,0.001183
181,1.508333,0.336061,0.074892,0.151169,-0.926608,-0.871594,1.726676,-2.144342,0.001137
182,1.516667,0.337881,0.063163,0.152572,-0.926590,-0.862373,1.724850,-2.141746,0.001038
183,1.525000,0.337929,0.051857,0.153957,-0.927045,-0.852994,1.723111,-2.139501,0.001076
184,1.533333,0.333705,0.040382,0.153560,-0.929209,-0.843258,1.722405,-2.138746,0.001328
185,1.541667,0.339996,0.029316,0.154892,-0.927120,-0.834592,1.718298,-2.134815,0.001348
186,1.550000,0.340956,0.019022,0.157207,-0.926646,-0.825401,1.715451,-2.132802,0.000998
187,1.558333,0.340232,0.009181,0.157378,-0.927033,-0.815968,1.712851,-2.131119,0.001173
188,1.566667,0.340162,-0.002349,0.158072,-0.926983,-0.807364,1.709525,-2.129142,0.001216
189,1.575000,0.339921,-0.013569,0.159006,-0.926816,-0.798935,1.705919,-2.127165,0.001233
190,1.583333,0.337982,-0.024298,0.158471,-0.927397,-0.790474,1.702251,-2.125623,0.001175
191,1.591667,0.336790,-0.035375,0.159333,-0.927326,-0.782469,1.698088,-2.123849,0.001203
192,1.600000,0.334826,-0.045740,0.160323,-0.927413,-0.774636,1.693696,-2.122237,0.001182
193,1.608333,0.332149,-0.056080,0.160805,-0.927725,-0.766963,1.689191,-2.120682,0.001211
194,1.616667,0.329075,-0.065826,0.160886,-0.928166,-0.759433,1.684389,-2.119228,0.001206
195,1.625000,0.325553,-0.075957,0.159912,-0.928802,-0.752201,1.679459,-2.117820,0.001235
196,1.633333,0.321779,-0.085523,0.158673,-0.929498,-0.745162,1.674303,-2.116576,0.001185
197,1.641667,0.317488,-0.095291,0.156322,-0.930422,-0.738362,1.669044,-2.115475,0.001181
198,1.650000,0.312681,-0.105383,0.154334,-0.931293,-0.732078,1.663814,-2.114471,0.001195
199,1.658333,0.308292,-0.114846,0.151368,-0.932123,-0.725878,1.658317,-2.113449,0.001250
200,1.666667,0.303892,-0.123705,0.148153,-0.932951,-0.719893,1.652657,-2.112487,0.001223
201,1.675000,0.299866,-0.132605,0.145061,-0.933517,-0.714330,1.646773,-2.111484,0.001236
202,1.683333,0.295513,-0.140222,0.141738,-0.934302,-0.708782,1.640818,-2.110573,0.001179
203,1.691667,0.290967,-0.148696,0.139500,-0.934755,-0.703968,1.634781,-2.109548,0.001269
204,1.700000,0.288232,-0.154531,0.135946,-0.935180,-0.698690,1.628050,-2.108505,0.001102
205,1.708333,0.282939,-0.162108,0.134434,-0.935732,-0.694503,1.621701,-2.107699,0.001207
206,1.716667,0.278729,-0.168508,0.130352,-0.936442,-0.689924,1.615030,-2.106858,0.001162
207,1.725000,0.273477,-0.174070,0.128065,-0.937288,-0.685708,1.608254,-2.106239,0.001093
208,1.733333,0.266955,-0.181366,0.126773,-0.937961,-0.682331,1.601565,-2.105549,0.001244
209,1.741667,0.261932,-0.185369,0.124273,-0.938928,-0.678204,1.594254,-2.104942,0.001096
210,1.750000,0.255137,-0.191999,0.125188,-0.939345,-0.675477,1.587040,-2.104074,0.001172
211,1.758333,0.249435,-0.195567,0.123498,-0.940364,-0.671804,1.579382,-2.103373,0.001052
212,1.766667,0.242269,-0.200340,0.122382,-0.941378,-0.668877,1.571952,-2.102931,0.001075
213,1.775000,0.235122,-0.205764,0.123457,-0.941879,-0.666678,1.564422,-2.102340,0.001107
214,1.783333,0.228174,-0.209929,0.123297,-0.942690,-0.664200,1.556745,-2.101776,0.001087
215,1.791667,0.221628,-0.211505,0.122335,-0.944024,-0.661204,1.548825,-2.101310,0.001015
216,1.800000,0.214564,-0.216025,0.122271,-0.944640,-0.659373,1.541077,-2.100809,0.001078
217,1.808333,0.207130,-0.219606,0.121312,-0.945597,-0.657298,1.533365,-2.100522,0.001108
218,1.816667,0.200884,-0.221661,0.119580,-0.946685,-0.655021,1.525214,-2.100233,0.001093
219,1.825000,0.193449,-0.224783,0.118955,-0.947576,-0.653188,1.517413,-2.100080,0.001093
220,1.833333,0.185764,-0.227611,0.117485,-0.948621,-0.651341,1.509640,-2.100155,0.001110
221,1.841667,0.179224,-0.230002,0.117699,-0.949276,-0.649647,1.501489,-2.100016,0.001090
222,1.850000,0.171713,-0.233462,0.118579,-0.949710,-0.648437,1.493646,-2.100019,0.001134
223,1.858333,0.164848,-0.235456,0.119986,-0.950258,-0.646957,1.485536,-2.100155,0.001101
